,turns
0,22
1,15
2,17
3,15
4,14
5,15
6,17
7,18
8,24
9,31
10,21
11,26
12,24
13,26
14,20
15,8
16,18
17,14
18,12
19,14
20,9
21,11
22,13
23,14
24,13
25,14
26,12
27,13
28,33
29,14
30,15
31,14
32,10
33,8
34,21
35,39
36,13
37,20
38,17
39,10
40,25
41,12
42,10
43,9
44,12
45,14
46,18
47,9
48,26
49,9
50,10
51,15
52,8
53,14
54,22
55,21
56,43
57,18
58,12
59,18
60,13
61,31
62,18
63,23
64,27
65,16
66,8
67,13
68,30
69,20
70,15
71,16
72,7
73,23
74,22
75,10
76,17
77,19
78,12
79,27
80,18
81,25
82,13
83,27
84,23
85,9
86,18
87,17
88,29
89,17
90,22
91,9
92,13
93,18
94,12
95,14
96,16
97,20
98,11
99,16
100,21
101,17
102,15
103,8
104,21
105,15
106,18
107,20
108,22
109,12
110,16
111,18
112,27
113,15
114,14
115,12
116,8
117,45
118,23
119,9
120,17
121,10
122,10
123,19
124,11
125,21
126,33
127,37
128,14
129,15
130,18
131,11
132,29
133,11
134,11
135,22
136,9
137,16
138,15
139,21
140,21
141,14
142,8
143,36
144,9
145,22
146,17
147,23
148,15
149,18
150,20
151,22
152,17
153,17
154,14
155,12
156,11
157,24
158,21
159,17
160,12
161,19
162,37
163,16
164,18
165,31
166,13
167,18
168,8
169,14
170,25
171,19
172,12
173,9
174,12
175,13
176,25
177,16
178,12
179,20
180,15
181,18
182,16
183,17
184,17
185,17
186,15
187,15
188,26
189,10
190,14
191,15
192,23
193,26
194,25
195,12
196,13
197,20
198,23
199,24
200,32
201,12
202,23
203,15
204,10
205,18
206,22
207,29
208,11
209,14
210,14
211,25
212,28
213,13
214,18
215,33
216,18
217,21
218,19
219,13
220,14
221,29
222,17
223,18
224,21
225,16
226,18
227,20
228,27
229,13
230,19
231,13
232,24
233,29
234,11
235,37
236,14
237,13
238,11
239,30
240,23
241,28
242,18
243,37
244,14
245,20
246,12
247,8
248,11
249,16
250,25
251,15
252,20
253,14
254,26
255,18
256,15
257,18
258,20
259,33
260,20
261,13
262,25
263,19
