,turns,chutes_hit,ladders_hit
0,47,6,5
1,53,7,4
2,15,1,4
3,11,1,2
4,34,4,6
5,41,4,5
6,94,13,3
7,23,3,2
8,25,3,4
9,41,4,4
10,44,8,3
11,24,2,2
12,93,12,5
13,21,1,2
14,31,3,2
15,26,2,1
16,74,10,6
17,30,1,2
18,24,2,3
19,60,8,3
20,40,6,2
21,101,16,6
22,21,1,2
23,50,7,3
24,95,12,6
25,104,15,5
26,64,10,5
27,20,0,2
28,59,7,3
29,19,2,1
30,59,8,6
31,29,2,2
32,15,2,2
33,63,8,5
34,12,1,2
35,23,1,2
36,18,3,4
37,54,8,5
38,47,6,2
39,102,16,8
40,23,5,3
41,44,3,4
42,31,3,2
43,21,1,3
44,21,1,2
45,39,2,3
46,26,4,4
47,61,9,5
48,55,8,2
49,43,4,3
50,11,1,3
51,22,2,3
52,91,14,8
53,50,7,5
54,24,4,3
55,12,1,2
56,41,7,2
57,22,3,2
58,19,0,3
59,23,2,2
60,28,3,2
61,37,6,5
62,31,1,1
63,47,6,4
64,31,2,4
65,39,6,3
66,33,5,4
67,31,4,3
68,31,2,2
69,43,6,3
70,24,1,1
71,20,2,3
72,11,0,2
73,42,5,2
74,14,2,2
75,52,5,5
76,22,1,1
77,12,0,1
78,30,3,4
79,11,0,3
80,69,7,4
81,34,3,1
82,14,0,1
83,22,1,2
84,16,2,2
85,50,7,5
86,26,1,2
87,62,10,6
88,19,1,2
89,70,7,4
90,19,2,2
91,35,5,6
92,39,4,5
93,20,3,4
94,25,2,2
95,27,2,2
96,31,3,2
97,8,0,2
98,22,1,2
99,14,0,3
100,12,0,3
101,27,2,1
102,88,16,5
103,68,9,5
104,103,16,8
105,38,4,3
106,12,0,2
107,42,5,4
108,26,2,2
109,23,1,3
110,11,1,2
111,14,0,1
112,97,13,6
113,29,5,4
114,13,0,1
115,28,2,2
116,19,0,2
117,84,12,7
118,45,5,2
119,43,5,1
120,20,1,3
121,75,10,7
122,37,4,3
123,108,18,4
124,81,10,5
125,19,2,1
126,26,3,5
127,42,4,1
128,12,0,2
129,49,5,5
130,59,10,3
131,87,8,5
132,24,0,1
133,24,2,3
134,60,8,5
135,35,5,4
136,35,5,5
137,39,4,2
138,87,14,6
139,37,6,6
140,55,6,3
141,18,2,3
142,39,7,2
143,49,5,6
144,58,7,3
145,64,10,7
146,71,7,1
147,29,2,5
148,63,7,2
149,20,3,3
150,9,0,2
151,13,1,2
152,16,2,3
153,53,7,2
154,18,1,2
155,13,0,4
156,50,4,6
157,93,12,7
158,20,1,3
159,67,7,2
160,42,4,3
161,79,9,4
162,81,11,4
163,26,3,2
164,57,6,2
165,24,1,2
166,11,0,2
167,8,0,3
168,32,2,1
169,47,7,6
170,103,11,4
171,26,3,2
172,15,3,4
173,14,1,3
174,17,2,3
175,54,6,1
176,53,6,5
177,91,13,8
178,24,3,3
179,17,1,3
180,68,8,4
181,35,2,3
182,27,2,2
183,34,1,1
184,27,2,1
185,39,5,4
186,13,0,2
187,21,1,3
188,19,0,2
189,10,0,3
190,13,0,1
191,42,4,4
192,21,2,4
193,21,0,2
194,54,6,4
195,27,4,2
196,29,6,5
197,16,0,3
198,37,6,4
199,96,9,5
200,27,2,3
201,27,4,5
202,84,9,6
203,26,2,2
204,17,2,2
205,42,5,4
206,37,5,6
207,17,2,5
208,34,4,2
209,116,15,6
210,30,3,1
211,46,7,4
212,62,7,4
213,21,1,2
214,45,4,2
215,17,2,3
216,42,3,2
217,33,2,4
218,23,2,5
219,49,5,4
220,82,10,4
221,32,5,5
222,31,4,4
223,46,5,2
224,19,1,3
225,8,0,3
226,73,8,3
227,11,0,1
228,19,3,3
229,23,0,1
230,30,5,4
231,9,0,4
232,21,1,2
233,61,6,5
234,19,2,2
235,31,3,2
236,14,2,2
237,60,9,5
238,24,3,4
239,66,10,5
240,17,0,2
241,80,9,4
242,28,2,2
243,35,4,2
244,11,1,4
245,9,0,3
246,27,3,2
247,87,14,5
248,18,0,2
249,19,1,3
250,30,2,2
251,22,2,2
252,17,0,2
253,9,0,4
254,43,5,3
255,47,6,4
256,23,0,1
257,41,5,2
258,17,0,2
259,30,2,2
260,94,11,5
261,33,3,3
262,32,3,3
263,35,4,4
264,32,2,1
265,20,2,2
266,29,1,1
267,20,1,4
268,54,8,5
269,54,7,6
270,85,12,8
271,23,2,2
272,34,3,3
273,11,0,4
274,13,1,2
275,36,5,3
276,33,1,0
277,18,1,2
278,22,1,3
279,89,10,4
280,32,3,3
281,28,2,2
282,50,7,5
283,46,5,3
284,40,3,1
285,98,17,3
286,39,3,3
287,31,4,1
