,turns,player_position1,player_position2
0,22,96,99
1,17,52,99
2,15,45,99
3,9,99,56
4,20,99,65
5,17,76,99
6,13,99,99
7,12,99,51
8,13,62,99
9,16,99,90
10,15,99,16
11,16,99,60
12,35,99,88
13,28,99,13
14,19,88,99
15,31,99,66
16,28,44,99
17,44,52,99
18,24,45,99
19,12,99,29
20,9,47,99
21,10,99,47
22,23,31,99
23,21,99,93
24,22,99,40
25,13,13,99
26,25,99,5
27,13,99,24
28,22,26,99
29,73,99,26
30,29,74,99
31,11,51,99
32,10,25,99
33,12,74,99
34,26,49,99
35,23,99,53
36,21,12,99
37,65,99,80
38,15,30,99
39,26,83,99
40,28,99,51
41,16,99,62
42,22,43,99
43,32,74,99
44,13,99,5
45,11,49,99
46,9,99,99
47,14,30,99
48,15,99,99
49,13,33,99
50,24,89,99
51,11,99,88
52,13,10,99
53,28,30,99
54,20,99,68
55,21,49,99
56,23,74,99
57,20,99,21
58,15,99,82
59,18,99,77
60,26,76,99
61,16,24,99
62,12,99,53
63,14,52,99
64,17,99,25
65,10,38,99
66,18,99,72
67,18,23,99
68,14,71,99
69,20,99,85
70,16,43,99
71,19,99,85
72,9,99,75
73,26,99,72
74,17,59,99
75,28,99,9
76,18,99,62
77,25,32,99
78,18,99,73
79,20,23,99
80,30,91,99
81,30,69,99
82,22,58,99
83,12,81,99
84,18,41,99
85,27,26,99
86,19,80,99
87,42,99,53
88,12,78,99
89,36,99,99
90,9,23,99
91,38,33,99
92,15,99,59
93,17,58,99
94,13,99,89
95,30,82,99
96,20,99,43
97,14,69,99
98,28,99,74
99,28,89,99
100,18,77,99
101,31,66,99
102,10,99,23
103,33,98,99
104,21,99,37
105,41,85,99
106,28,57,99
107,11,33,99
108,14,5,99
109,21,99,84
110,20,31,99
111,15,99,5
112,20,5,99
113,20,99,66
114,22,99,88
115,18,99,60
116,48,59,99
117,22,99,42
118,11,99,38
119,39,45,99
120,15,87,99
121,14,99,34
122,24,99,99
123,16,99,25
124,22,99,84
125,9,81,99
126,23,99,59
127,20,62,99
128,47,99,69
129,23,99,36
130,9,99,19
131,19,42,99
132,18,99,90
133,21,99,74
134,19,95,99
135,18,18,99
136,82,81,99
137,23,99,44
138,30,99,56
139,16,85,99
140,34,99,47
141,14,99,78
142,14,40,99
143,27,91,99
144,28,99,74
145,43,99,93
146,19,99,84
147,27,10,99
148,11,99,45
149,29,99,23
150,19,60,99
151,22,99,39
152,12,99,45
153,10,99,32
154,22,99,41
155,12,18,99
156,19,99,24
157,24,76,99
158,19,99,66
159,37,39,99
160,13,29,99
161,17,53,99
162,22,71,99
163,22,28,99
164,30,99,74
165,15,45,99
166,19,41,99
167,33,38,99
168,32,42,99
169,20,39,99
170,15,99,58
171,21,75,99
172,21,99,89
173,27,26,99
174,24,99,54
175,33,99,38
176,56,99,38
177,16,99,45
178,15,18,99
179,25,11,99
180,18,80,99
181,18,99,47
182,37,90,99
183,13,66,99
184,31,52,99
185,37,25,99
186,31,74,99
187,11,99,39
188,36,99,10
189,16,39,99
190,45,99,49
191,18,41,99
192,36,42,99
193,14,99,87
194,25,78,99
195,13,32,99
196,29,66,99
197,21,99,43
198,21,76,99
199,21,29,99
200,29,5,99
201,31,58,99
202,12,83,99
203,29,37,99
204,37,99,96
205,15,99,49
206,11,99,7
207,46,83,99
208,27,91,99
209,12,37,99
210,14,99,69
211,26,99,89
212,17,25,99
213,14,99,39
214,41,88,99
215,18,56,99
216,29,17,99
217,13,99,37
218,17,44,99
219,30,99,52
220,61,84,99
221,21,53,99
222,16,90,99
223,41,38,99
224,39,99,11
225,14,99,51
226,17,99,45
227,10,99,59
228,42,99,81
229,28,99,78
230,34,96,99
231,29,99,99
232,34,99,83
233,25,89,99
234,41,99,90
235,20,99,34
236,21,81,99
237,38,99,80
238,19,99,98
239,24,45,99
240,21,99,21
241,22,99,88
242,16,60,99
243,25,99,28
244,47,99,31
245,19,99,87
246,19,99,58
247,26,43,99
248,10,41,99
249,28,99,41
250,19,99,90
251,16,95,99
252,28,99,34
253,18,75,99
254,45,88,99
255,22,18,99
256,19,99,83
257,20,83,99
258,47,72,99
259,7,99,47
260,18,99,99
261,16,99,10
262,19,99,72
263,15,85,99
264,22,99,59
265,27,99,93
266,22,29,99
267,19,18,99
268,26,42,99
269,35,99,33
270,36,99,93
271,71,99,30
272,18,25,99
273,24,99,98
274,20,26,99
275,18,30,99
276,13,99,93
277,20,23,99
278,31,99,89
279,11,59,99
280,15,49,99
281,19,28,99
282,17,32,99
283,28,84,99
284,16,99,34
285,14,93,99
286,19,32,99
287,47,78,99
288,33,99,75
289,22,99,73
290,17,58,99
291,78,82,99
292,25,99,40
293,21,99,33
294,44,99,67
295,26,62,99
296,20,41,99
297,24,84,99
298,25,99,81
299,13,99,28
300,13,99,89
301,16,99,71
302,33,89,99
303,35,39,99
304,16,83,99
305,27,99,13
306,19,99,76
307,9,30,99
308,25,99,85
309,20,99,44
310,12,99,90
311,40,68,99
312,32,60,99
313,28,72,99
314,46,99,39
315,18,99,47
316,20,99,30
317,30,43,99
318,13,99,19
319,37,98,99
320,14,33,99
321,10,99,19
322,37,99,84
323,29,26,99
324,8,99,34
325,17,25,99
326,45,76,99
327,35,99,41
328,9,99,76
329,13,99,77
330,18,99,5
331,77,49,99
332,29,99,78
333,12,99,54
334,11,99,37
335,29,99,25
336,30,99,82
337,17,26,99
338,20,99,65
339,9,83,99
340,35,83,99
341,38,58,99
342,8,99,91
343,27,99,43
344,19,99,36
345,14,99,53
346,21,99,87
347,26,99,99
348,48,36,99
349,20,99,88
350,14,88,99
351,19,99,34
352,13,31,99
353,31,30,99
354,17,36,99
355,22,99,64
356,13,31,99
357,14,99,66
358,21,99,23
359,58,99,36
360,20,99,33
361,14,82,99
362,13,11,99
363,13,57,99
364,12,99,42
365,22,53,99
366,13,67,99
367,48,64,99
368,18,99,29
369,22,99,40
370,13,21,99
371,21,18,99
372,22,99,40
373,12,99,9
374,27,65,99
375,13,32,99
376,13,25,99
377,12,52,99
378,13,99,75
379,23,99,47
380,16,99,73
381,13,47,99
382,33,37,99
383,82,99,26
384,10,40,99
385,41,99,22
386,32,72,99
387,13,73,99
388,20,23,99
389,9,47,99
390,9,21,99
391,10,5,99
392,22,59,99
393,26,99,30
394,16,99,66
395,31,25,99
396,26,99,23
397,17,78,99
398,14,99,43
399,14,29,99
400,20,25,99
401,12,22,99
402,20,85,99
403,9,58,99
404,23,33,99
405,18,99,88
406,13,65,99
407,17,99,29
408,30,99,11
409,13,73,99
410,22,25,99
411,16,66,99
412,27,67,99
413,46,99,10
414,15,99,96
415,8,37,99
416,8,99,36
417,19,84,99
418,16,23,99
419,35,90,99
420,12,36,99
421,27,99,45
422,20,99,26
423,21,90,99
424,38,37,99
425,18,52,99
426,23,99,72
427,30,62,99
428,10,99,25
429,11,99,59
430,41,36,99
431,34,33,99
432,27,64,99
433,14,99,51
434,16,17,99
435,29,99,88
436,16,99,80
437,12,31,99
438,15,99,98
439,24,11,99
440,11,99,29
441,36,49,99
442,37,99,30
443,9,11,99
444,25,99,52
445,32,67,99
446,19,68,99
447,15,99,52
448,18,91,99
449,33,53,99
450,17,99,77
451,39,99,29
452,19,33,99
453,16,45,99
454,12,80,99
